start_timestamp ,end_timestamp   ,marketprice,unit
1/1/2019 0:00   ,1/1/2019 1:00   ,39.76      ,Eur/MWh
1/1/2019 1:00   ,1/1/2019 2:00   ,39.78      ,Eur/MWh
1/1/2019 2:00   ,1/1/2019 3:00   ,27.87      ,Eur/MWh
1/1/2019 3:00   ,1/1/2019 4:00   ,-0.36      ,Eur/MWh
1/1/2019 4:00   ,1/1/2019 5:00   ,-4.45      ,Eur/MWh
1/1/2019 5:00   ,1/1/2019 6:00   ,-8.99      ,Eur/MWh
1/1/2019 6:00   ,1/1/2019 7:00   ,-6.05      ,Eur/MWh
1/1/2019 7:00   ,1/1/2019 8:00   ,1.53       ,Eur/MWh
1/1/2019 8:00   ,1/1/2019 9:00   ,0.41       ,Eur/MWh
1/1/2019 9:00   ,1/1/2019 10:00  ,14.34      ,Eur/MWh
1/1/2019 10:00  ,1/1/2019 11:00  ,9.2        ,Eur/MWh
1/1/2019 11:00  ,1/1/2019 12:00  ,10.68      ,Eur/MWh
1/1/2019 12:00  ,1/1/2019 13:00  ,8.85       ,Eur/MWh
1/1/2019 13:00  ,1/1/2019 14:00  ,20.49      ,Eur/MWh
1/1/2019 14:00  ,1/1/2019 15:00  ,18.78      ,Eur/MWh
1/1/2019 15:00  ,1/1/2019 16:00  ,21.75      ,Eur/MWh
1/1/2019 16:00  ,1/1/2019 17:00  ,40.1       ,Eur/MWh
1/1/2019 17:00  ,1/1/2019 18:00  ,40         ,Eur/MWh
1/1/2019 18:00  ,1/1/2019 19:00  ,25.07      ,Eur/MWh
1/1/2019 19:00  ,1/1/2019 20:00  ,32.63      ,Eur/MWh
1/1/2019 20:00  ,1/1/2019 21:00  ,0.02       ,Eur/MWh
1/1/2019 21:00  ,1/1/2019 22:00  ,1.76       ,Eur/MWh
1/1/2019 22:00  ,1/1/2019 23:00  ,-4.95      ,Eur/MWh
1/1/2019 23:00  ,1/2/2019 0:00   ,-4.98      ,Eur/MWh
1/2/2019 0:00   ,1/2/2019 1:00   ,-16.4      ,Eur/MWh
1/2/2019 1:00   ,1/2/2019 2:00   ,-16.45     ,Eur/MWh
1/2/2019 2:00   ,1/2/2019 3:00   ,-16.49     ,Eur/MWh
1/2/2019 3:00   ,1/2/2019 4:00   ,-16.45     ,Eur/MWh
1/2/2019 4:00   ,1/2/2019 5:00   ,0.71       ,Eur/MWh
1/2/2019 5:00   ,1/2/2019 6:00   ,11.49      ,Eur/MWh
1/2/2019 6:00   ,1/2/2019 7:00   ,41.8       ,Eur/MWh
1/2/2019 7:00   ,1/2/2019 8:00   ,49.89      ,Eur/MWh
1/2/2019 8:00   ,1/2/2019 9:00   ,52.04      ,Eur/MWh
1/2/2019 9:00   ,1/2/2019 10:00  ,50.91      ,Eur/MWh
1/2/2019 10:00  ,1/2/2019 11:00  ,48.78      ,Eur/MWh
1/2/2019 11:00  ,1/2/2019 12:00  ,46.07      ,Eur/MWh
1/2/2019 12:00  ,1/2/2019 13:00  ,48.34      ,Eur/MWh
1/2/2019 13:00  ,1/2/2019 14:00  ,50.85      ,Eur/MWh
1/2/2019 14:00  ,1/2/2019 15:00  ,54.52      ,Eur/MWh
