    ,start_timestamp    ,end_timestamp      ,marketprice,unit
0   ,2019-01-01 00:00:00,2019-01-01 01:00:00,39.76      ,Eur/MWh
1   ,2019-01-01 01:00:00,2019-01-01 02:00:00,39.78      ,Eur/MWh
2   ,2019-01-01 02:00:00,2019-01-01 03:00:00,27.87      ,Eur/MWh
3   ,2019-01-01 03:00:00,2019-01-01 04:00:00,-0.36      ,Eur/MWh
4   ,2019-01-01 04:00:00,2019-01-01 05:00:00,-4.45      ,Eur/MWh
5   ,2019-01-01 05:00:00,2019-01-01 06:00:00,-8.99      ,Eur/MWh
6   ,2019-01-01 06:00:00,2019-01-01 07:00:00,-6.05      ,Eur/MWh
7   ,2019-01-01 07:00:00,2019-01-01 08:00:00,1.53       ,Eur/MWh
8   ,2019-01-01 08:00:00,2019-01-01 09:00:00,0.41       ,Eur/MWh
9   ,2019-01-01 09:00:00,2019-01-01 10:00:00,14.34      ,Eur/MWh
10  ,2019-01-01 10:00:00,2019-01-01 11:00:00,9.2        ,Eur/MWh
11  ,2019-01-01 11:00:00,2019-01-01 12:00:00,10.68      ,Eur/MWh
12  ,2019-01-01 12:00:00,2019-01-01 13:00:00,8.85       ,Eur/MWh
13  ,2019-01-01 13:00:00,2019-01-01 14:00:00,20.49      ,Eur/MWh
14  ,2019-01-01 14:00:00,2019-01-01 15:00:00,18.78      ,Eur/MWh
15  ,2019-01-01 15:00:00,2019-01-01 16:00:00,21.75      ,Eur/MWh
16  ,2019-01-01 16:00:00,2019-01-01 17:00:00,40.1       ,Eur/MWh
17  ,2019-01-01 17:00:00,2019-01-01 18:00:00,40.0       ,Eur/MWh
18  ,2019-01-01 18:00:00,2019-01-01 19:00:00,25.07      ,Eur/MWh
19  ,2019-01-01 19:00:00,2019-01-01 20:00:00,32.63      ,Eur/MWh
20  ,2019-01-01 20:00:00,2019-01-01 21:00:00,0.02       ,Eur/MWh
21  ,2019-01-01 21:00:00,2019-01-01 22:00:00,1.76       ,Eur/MWh
22  ,2019-01-01 22:00:00,2019-01-01 23:00:00,-4.95      ,Eur/MWh
23  ,2019-01-01 23:00:00,2019-01-02 00:00:00,-4.98      ,Eur/MWh
24  ,2019-01-02 00:00:00,2019-01-02 01:00:00,-16.4      ,Eur/MWh
25  ,2019-01-02 01:00:00,2019-01-02 02:00:00,-16.45     ,Eur/MWh
26  ,2019-01-02 02:00:00,2019-01-02 03:00:00,-16.49     ,Eur/MWh
27  ,2019-01-02 03:00:00,2019-01-02 04:00:00,-16.45     ,Eur/MWh
28  ,2019-01-02 04:00:00,2019-01-02 05:00:00,0.71       ,Eur/MWh
29  ,2019-01-02 05:00:00,2019-01-02 06:00:00,11.49      ,Eur/MWh
30  ,2019-01-02 06:00:00,2019-01-02 07:00:00,41.8       ,Eur/MWh
31  ,2019-01-02 07:00:00,2019-01-02 08:00:00,49.89      ,Eur/MWh
32  ,2019-01-02 08:00:00,2019-01-02 09:00:00,52.04      ,Eur/MWh
33  ,2019-01-02 09:00:00,2019-01-02 10:00:00,50.91      ,Eur/MWh
34  ,2019-01-02 10:00:00,2019-01-02 11:00:00,48.78      ,Eur/MWh
35  ,2019-01-02 11:00:00,2019-01-02 12:00:00,46.07      ,Eur/MWh
36  ,2019-01-02 12:00:00,2019-01-02 13:00:00,48.34      ,Eur/MWh
